#options: 640x480 fps=12/1 timebase=1/12 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=12 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:11.84 aq:6.16 tex:618062 mv:48009 misc:161 imb:1200 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:13.37 aq:8.75 tex:523200 mv:5502 misc:282 imb:94 pmb:879 smb:227 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:13.37 aq:10.71 tex:295933 mv:8402 misc:249 imb:15 pmb:955 smb:230 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:13.37 aq:12.38 tex:244575 mv:7433 misc:288 imb:19 pmb:944 smb:237 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:13.37 aq:12.19 tex:57566 mv:2165 misc:869 imb:0 pmb:708 smb:492 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:12.95 aq:10.10 tex:551405 mv:8018 misc:297 imb:132 pmb:844 smb:224 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:13.16 aq:10.18 tex:274605 mv:7193 misc:282 imb:37 pmb:935 smb:228 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:13.26 aq:11.98 tex:56835 mv:3855 misc:830 imb:0 pmb:733 smb:467 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:13.05 aq:11.72 tex:99327 mv:5033 misc:544 imb:5 pmb:853 smb:342 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:18.81 aq:16.25 tex:268958 mv:9099 misc:295 imb:481 pmb:520 smb:199 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:15.88 aq:13.75 tex:312826 mv:16295 misc:295 imb:112 pmb:890 smb:198 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:14.41 aq:13.18 tex:201179 mv:10511 misc:286 imb:53 pmb:922 smb:225 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:17.35 aq:16.19 tex:79257 mv:7240 misc:583 imb:17 pmb:897 smb:286 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:17.36 aq:14.49 tex:337522 mv:10229 misc:305 imb:647 pmb:419 smb:134 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:18.08 aq:15.78 tex:231910 mv:19483 misc:343 imb:305 pmb:749 smb:146 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:18.45 aq:17.27 tex:97499 mv:12208 misc:525 imb:75 pmb:886 smb:239 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:17.72 aq:16.26 tex:108263 mv:12564 misc:445 imb:88 pmb:914 smb:198 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:17.53 aq:13.04 tex:460460 mv:12816 misc:308 imb:550 pmb:588 smb:62 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:17.44 aq:15.05 tex:269760 mv:21696 misc:296 imb:306 pmb:815 smb:79 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:17.40 aq:15.73 tex:131394 mv:14895 misc:463 imb:151 pmb:897 smb:152 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:17.49 aq:16.02 tex:109638 mv:12351 misc:499 imb:43 pmb:1030 smb:127 d:- ref:0 ;
in:22 out:21 type:P dur:2 cpbdur:2 q:18.01 aq:13.31 tex:310384 mv:9168 misc:312 imb:189 pmb:980 smb:31 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:17.77 aq:16.65 tex:62264 mv:5889 misc:839 imb:4 pmb:920 smb:276 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:18.36 aq:14.74 tex:338036 mv:8136 misc:252 imb:146 pmb:1021 smb:33 d:- ref:0 ;
in:24 out:24 type:B dur:2 cpbdur:2 q:18.18 aq:15.52 tex:191913 mv:11207 misc:256 imb:79 pmb:1065 smb:56 d:- ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:18.10 aq:17.10 tex:49715 mv:5490 misc:899 imb:2 pmb:933 smb:265 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:18.27 aq:17.33 tex:49494 mv:4119 misc:955 imb:6 pmb:905 smb:289 d:- ref:0 ;
in:28 out:27 type:P dur:2 cpbdur:2 q:18.08 aq:14.79 tex:277067 mv:7670 misc:271 imb:230 pmb:912 smb:58 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:18.22 aq:17.12 tex:76531 mv:5592 misc:661 imb:20 pmb:1015 smb:165 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:17.98 aq:14.05 tex:377109 mv:11141 misc:182 imb:547 pmb:653 smb:0 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:18.03 aq:16.47 tex:323026 mv:16221 misc:249 imb:66 pmb:1074 smb:60 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:18.06 aq:16.71 tex:124889 mv:9784 misc:447 imb:145 pmb:963 smb:92 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:18.01 aq:16.78 tex:57496 mv:6060 misc:1012 imb:6 pmb:851 smb:343 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:17.47 aq:13.26 tex:374505 mv:11838 misc:321 imb:570 pmb:545 smb:85 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:17.73 aq:14.98 tex:214866 mv:19403 misc:275 imb:161 pmb:952 smb:87 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:17.86 aq:16.40 tex:53455 mv:5542 misc:1051 imb:7 pmb:806 smb:387 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:17.60 aq:16.08 tex:92413 mv:10087 misc:644 imb:25 pmb:953 smb:222 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:17.91 aq:14.39 tex:331126 mv:9705 misc:289 imb:164 pmb:939 smb:97 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:17.69 aq:15.01 tex:209418 mv:12366 misc:272 imb:51 pmb:1048 smb:101 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:17.58 aq:16.40 tex:65462 mv:6161 misc:705 imb:3 pmb:962 smb:235 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:17.80 aq:16.82 tex:47318 mv:5053 misc:893 imb:1 pmb:892 smb:307 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:17.61 aq:14.27 tex:363451 mv:10490 misc:299 imb:629 pmb:471 smb:100 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:17.76 aq:15.85 tex:235935 mv:18669 misc:268 imb:257 pmb:837 smb:106 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:17.84 aq:17.03 tex:52087 mv:4197 misc:908 imb:5 pmb:872 smb:323 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:17.69 aq:16.20 tex:138204 mv:14696 misc:324 imb:125 pmb:935 smb:140 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:17.43 aq:13.11 tex:382110 mv:11718 misc:308 imb:497 pmb:580 smb:123 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:17.52 aq:15.21 tex:253994 mv:19403 misc:283 imb:152 pmb:916 smb:132 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:17.57 aq:16.17 tex:115317 mv:10625 misc:506 imb:39 pmb:971 smb:190 d:- ref:0 ;
